0.000000, i_d, i_q, i_d_ref, i_q_ref
0.088602, -36, 29, 0, 0
0.000128, -6, 15, 0, 0
0.000330, -3, 38, 0, 0
0.000528, -6, 15, 0, 0
0.000730, 0, 12, 0, 0
0.000930, -4, -16, 0, 0
0.001128, 13, -30, 0, 0
0.001328, -28, 13, 0, 0
0.001530, 17, -8, 0, 0
0.001730, 14, 29, 0, 0
0.001930, -5, 2, 0, 0
0.002128, -17, 8, 0, 0
0.002330, 17, -8, 0, 0
0.002528, -11, 5, 0, 0
0.002728, -17, 8, 0, 0
0.002930, 4, 16, 0, 0
0.003130, 41, -32, 0, 0
0.003330, -16, -10, 0, 0
0.003528, 0, 0, 0, 0
0.003730, -8, 104, 0, 0
0.003930, -7, 15, 0, 0
0.004128, 5, -2, 0, 0
0.004330, -12, 18, 0, 0
0.004530, -14, 44, 0, 0
0.004730, -5, 2, 0, 0
0.004930, -6, 15, 0, 0
0.005130, -24, 24, 0, 0
0.005330, 18, -83, 0, 0
0.005528, -18, 21, 0, 0
0.005730, 98, -20, 0, 0
0.005930, 39, 6, 0, 0
0.006128, -8, 28, 0, 0
0.006330, -2, 26, 0, 0
0.006530, -4, -10, 0, 0
0.006730, -4, -10, 0, 0
0.006930, 0, 0, 0, 0
0.007128, -2, 25, 0, 0
0.007328, -2, 26, 0, 0
0.007528, -6, 15, 0, 0
0.007730, 0, 0, 0, 0
0.007930, 0, 0, 0, 0
0.008128, 9, 20, 0, 0
0.008330, -2, 26, 0, 0
0.008530, -4, -10, 0, 0
0.008728, -5, 2, 0, 0
0.008928, -5, 2, 0, 0
0.009130, 0, 0, 0, 0
0.009330, -4, -10, 0, 0
0.009530, 1, -13, 0, 0
0.009730, -23, 11, 0, 0
0.009930, 40, -6, 0, 0
0.010130, -5, 2, 0, 0
0.010330, 11, -5, 0, 0
0.010528, -19, 34, 0, 0
0.010730, 0, 0, 0, 0
0.010930, -7, 15, 0, 0
0.011130, 1, -13, 0, 0
0.011328, 1, -12, 0, 0
0.011530, 1, -13, 0, 0
0.011730, -6, 9, 0, 0
0.011928, 10, 7, 0, 0
0.012130, -7, 22, 0, 0
0.012330, 12, -18, 0, 0
0.012530, -5, 2, 0, 0
0.012730, -1, 13, 0, 0
0.012928, -2, 26, 0, 0
0.013130, -5, 2, 0, 0
0.013330, 15, 17, 0, 0
0.013528, -8, 28, 0, 0
0.013728, 13, -18, 0, 0
0.013930, -8, 28, 0, 0
0.014130, -28, 0, 0, 0
0.014330, 0, 0, 0, 0
0.014530, -7, 15, 0, 0
0.014728, -6, 15, 0, 0
0.014930, -7, 15, 0, 0
0.015128, -4, -10, 0, 0
0.015330, -5, 2, 0, 0
0.015530, 1, -13, 0, 0
0.015728, -9, 41, 0, 0
0.015930, -5, 2, 0, 0
0.016128, 39, 7, 0, 0
0.016330, 10, 7, 0, 0
0.016530, 3, -101, 0, 0
0.016728, 14, -182, 0, 0
0.016930, 5, -2, 0, 0
0.017128, -4, -10, 0, 0
0.017330, 9, 20, 0, 0
0.017528, -40, 6, 0, 0
0.017728, 141, -52, 0, 0
0.017928, -13, 18, 0, 0
0.018130, 1, -13, 0, 0
0.018328, 64, -86, 0, 0
0.018530, -20, 47, 0, 0
0.018730, -2, 26, 0, 0
0.018928, -7, 15, 0, 0
0.019130, 1, -13, 0, 0
0.019328, -8, 28, 0, 0
0.019528, -7, 15, 0, 0
0.019730, -7, 15, 0, 0
0.019928, -2, 26, 0, 0
0.020130, -2, 26, 0, 0
0.020330, -7, 28, 0, 0
0.020530, 5, -2, 0, 0
0.020730, 40, -6, 0, 0
0.020928, 3, 23, 0, 0
0.021130, 0, 6, 0, 0
0.021330, -4, -10, 0, 0
0.021528, -5, 2, 0, 0
0.021728, -7, 15, 0, 0
0.021928, -9, 41, 0, 0
0.022130, 42, -32, 0, 0
0.022328, 1, -13, 0, 0
0.022530, 39, 6, 0, 0
0.022730, 1, -13, 0, 0
0.022930, -1, 13, 0, 0
0.023128, -68, 68, 0, 0
0.023330, -7, 15, 0, 0
0.023528, 112, -53, 0, 0
0.023730, 40, -6, 0, 0
0.023930, 39, 6, 0, 0
0.024130, 7, -15, 0, 0
0.024328, -7, 15, 0, 0
0.024530, -5, 2, 0, 0
0.024728, -4, -10, 0, 0
0.024928, -7, 15, 0, 0
0.025128, 21, 8, 0, 0
0.025530, -2, 25, 0, 0
0.025728, 20, -34, 0, 0
0.025930, 10, 7, 0, 0
0.026130, -8, 28, 0, 0
0.026328, -8, 28, 0, 0
0.026528, 1, -13, 0, 0
0.026728, -5, 2, 0, 0
0.026928, 40, -6, 0, 0
0.027130, 0, 0, 0, 0
0.027328, -8, 28, 0, 0
0.027530, 50, -123, 0, 0
0.027728, 0, 0, 0, 0
0.027930, 0, 0, 0, 0
0.028130, -7, 15, 0, 0
0.028330, 0, 0, 0, 0
0.028528, 0, 0, 0, 0
0.028728, 0, 0, 0, 0
0.028930, -5, 2, 0, 0
0.029130, 42, -32, 0, 0
0.029328, -6, 15, 0, 0
0.029530, -8, 28, 0, 0
0.029730, -15, 106, 0, 0
0.029928, -1, 12, 0, 0
0.030130, -5, 2, 0, 0
0.030330, -8, 28, 0, 0
0.030530, 3, 23, 0, 0
0.030728, -9, 41, 0, 0
0.030930, -12, 18, 0, 0
0.031128, -2, -36, 0, 0
0.031328, -7, 15, 0, 0
0.031528, -1, 13, 0, 0
0.031730, -7, 15, 0, 0
0.031928, 10, 7, 0, 0
0.032130, -5, 2, 0, 0
0.032330, 0, -75, 0, 0
0.032530, -53, 24, 0, 0
0.032730, 40, -6, 0, 0
0.032930, 1, -13, 0, 0
0.033130, 41, -19, 0, 0
0.033330, -5, 2, 0, 0
0.033530, -1, 13, 0, 0
0.033728, -18, 21, 0, 0
0.033930, -8, 28, 0, 0
0.034128, -5, 2, 0, 0
0.034330, 39, 6, 0, 0
0.034530, 42, -32, 0, 0
0.034728, -4, -10, 0, 0
0.034928, -100, 46, 0, 0
0.035130, 11, -5, 0, 0
0.035330, -7, 15, 0, 0
0.035530, -14, 31, 0, 0
0.035730, 1, -13, 0, 0
0.035930, -12, 18, 0, 0
0.036128, -5, 2, 0, 0
0.036328, -20, 34, 0, 0
0.036530, -5, 2, 0, 0
0.036730, -2, -36, 0, 0
0.036928, 4, 10, 0, 0
0.037128, -2, 25, 0, 0
0.037330, -12, 18, 0, 0
0.037530, -19, 34, 0, 0
0.037730, 0, 0, 0, 0
0.037930, 17, -8, 0, 0
0.038128, -8, 28, 0, 0
0.038328, -20, 47, 0, 0
0.038530, 41, -19, 0, 0
0.038728, -1, 19, 0, 0
0.038928, -6, 15, 0, 0
0.039130, -11, 5, 0, 0
0.039330, 4, 10, 0, 0
0.039530, 0, 0, 0, 0
0.039930, 1, -13, 0, 0
0.040130, -2, 26, 0, 0
0.040330, 5, -71, 0, 0
0.040528, -18, 21, 0, 0
0.040728, 7, -15, 0, 0
0.040930, -1, 13, 0, 0
0.041130, -12, 12, 0, 0
0.041328, -8, 28, 0, 0
0.041530, -5, 2, 0, 0
0.041730, 0, 0, 0, 0
0.041930, -4, -10, 0, 0
0.042130, 9, 20, 0, 0
0.042330, -55, 50, 0, 0
0.042528, 0, 0, 0, 0
0.042728, -19, 27, 0, 0
0.042928, -6, 15, 0, 0
0.043130, -7, 15, 0, 0
0.043330, 3, 23, 0, 0
0.043530, 11, -5, 0, 0
0.043728, 0, 0, 0, 0
0.043930, -5, 2, 0, 0
0.044130, -1, 13, 0, 0
0.044328, 0, 0, 0, 0
0.044530, 1, -13, 0, 0
0.044728, -5, 2, 0, 0
0.044928, -5, 2, 0, 0
0.045130, -1, 13, 0, 0
0.045328, -5, 2, 0, 0
0.045530, 0, 0, 0, 0
0.045728, 0, 6, 0, 0
0.045930, -7, 15, 0, 0
0.046130, -7, 15, 0, 0
0.046328, -2, 26, 0, 0
0.046528, -8, 28, 0, 0
0.046730, 11, -5, 0, 0
0.046928, -2, 26, 0, 0
0.047130, 15, 17, 0, 0
0.047330, -30, 26, 0, 0
0.047530, -5, 2, 0, 0
0.047730, 40, -6, 0, 0
0.047930, -13, 31, 0, 0
0.048130, -7, 15, 0, 0
0.048328, 0, 0, 0, 0
0.048530, 0, 0, 0, 0
0.048730, 0, 0, 0, 0
0.048930, -4, -10, 0, 0
0.049128, -28, 0, 0, 0
0.049330, -1, 26, 0, 0
0.049530, -5, 2, 0, 0
0.049730, 41, -19, 0, 0
0.049930, -48, 48, 0, 0
0.050130, 0, 0, 0, 0
0.050328, 11, -5, 0, 0
0.050530, 3, 23, 0, 0
0.050730, 41, -19, 0, 0
0.050930, -19, 34, 0, 0
0.051130, -18, 21, 0, 0
0.051330, 39, 6, 0, 0
0.051530, -1, 26, 0, 0
0.051730, 10, 7, 0, 0
0.051930, -5, 2, 0, 0
0.052128, 0, 0, 0, 0
0.052330, -6, 15, 0, 0
0.052530, -6, 15, 0, 0
0.052728, 39, 6, 0, 0
0.052930, 11, -5, 0, 0
0.053130, -8, 28, 0, 0
0.053328, -4, -10, 0, 0
0.053530, -6, 15, 0, 0
0.053728, -5, 2, 0, 0
0.053930, 3, 23, 0, 0
0.054128, 0, 0, 0, 0
0.054328, -6, 15, 0, 0
0.054530, 0, -13, 0, 0
0.054730, -5, 2, 0, 0
0.054930, -1, 13, 0, 0
0.055128, -18, 21, 0, 0
0.055330, -5, 2, 0, 0
0.055530, -11, 5, 0, 0
0.055728, 0, 0, 0, 0
0.055930, -7, 15, 0, 0
0.056130, -13, 25, 0, 0
0.056330, -1, 26, 0, 0
0.056530, -7, 28, 0, 0
0.056728, -5, 2, 0, 0
0.056928, -1, 13, 0, 0
0.057130, 9, 20, 0, 0
0.057330, -6, 15, 0, 0
0.057530, -2, 26, 0, 0
0.057730, 6, -15, 0, 0
0.057930, 40, -6, 0, 0
0.058128, 0, 0, 0, 0
0.058330, -2, 26, 0, 0
0.058528, -3, 39, 0, 0
0.058730, -7, 28, 0, 0
0.058928, -20, 34, 0, 0
0.059130, 0, 0, 0, 0
0.059330, 39, 5, 0, 0
0.059530, 10, 7, 0, 0
0.059730, -37, 42, 0, 0
0.059930, -5, 2, 0, 0
0.060130, -5, 2, 0, 0
